name,Year,Population,Density
New Hampshire,2016,1334795,8969
New Jersey,2010,8803729,7419
New Jersey,2011,8841243,7419
New Jersey,2012,8873211,7419
New Jersey,2013,8899162,7419
New Jersey,2014,8925001,7419
New Jersey,2015,8935421,7419
New Jersey,2016,8944469,7419
New Mexico,2010,2064756,121365
New Mexico,2011,2077756,121365
New Mexico,2012,2083784,121365
New Mexico,2013,2085193,121365
New Mexico,2014,2083024,121365
New Mexico,2015,2080328,121365
New Mexico,2016,2081015,121365
New York,2010,19402640,47224
New York,2011,19519529,47224
New York,2012,19602769,47224
New York,2013,19673546,47224
New York,2014,19718515,47224
New York,2015,19747183,47224
New York,2016,19745289,47224
North Carolina,2010,9558915,48718
North Carolina,2011,9650963,48718
North Carolina,2012,9746175,48718
North Carolina,2013,9841590,48718
North Carolina,2014,9934399,48718
North Carolina,2015,10035186,48718
North Carolina,2016,10146788,48718
North Dakota,2010,674526,68994
North Dakota,2011,685476,68994
North Dakota,2012,702087,68994
North Dakota,2013,724019,68994
North Dakota,2014,739904,68994
North Dakota,2015,756835,68994
North Dakota,2016,757952,68994
Ohio,2010,11540983,40953
Ohio,2011,11544824,40953
Ohio,2012,11550839,40953
Ohio,2013,11570022,40953
Ohio,2014,11594408,40953
Ohio,2015,11605090,40953
Ohio,2016,11614373,40953
Oklahoma,2010,3759603,68679
Oklahoma,2011,3786274,68679
Oklahoma,2012,3817054,68679
Oklahoma,2013,3852415,68679
Oklahoma,2014,3877499,68679
Oklahoma,2015,3907414,68679
Oklahoma,2016,3923561,68679
Oregon,2010,3838048,96003
Oregon,2011,3868031,96003
Oregon,2012,3899116,96003
Oregon,2013,3925751,96003
Oregon,2014,3968371,96003
Oregon,2015,4024634,96003
Oregon,2016,4093465,96003
Pennsylvania,2010,12712343,44820
Pennsylvania,2011,12744293,44820
Pennsylvania,2012,12771854,44820
Pennsylvania,2013,12781338,44820
Pennsylvania,2014,12790565,44820
Pennsylvania,2015,12791904,44820
Pennsylvania,2016,12784227,44820
Rhode Island,2010,1053337,1034
Rhode Island,2011,1052451,1034
Rhode Island,2012,1052901,1034
Rhode Island,2013,1053033,1034
Rhode Island,2014,1054480,1034
Rhode Island,2015,1055607,1034
Rhode Island,2016,1056426,1034
South Carolina,2010,4635943,30111
South Carolina,2011,4672637,30111
South Carolina,2012,4720760,30111
South Carolina,2013,4767894,30111
South Carolina,2014,4828430,30111
South Carolina,2015,4894834,30111
South Carolina,2016,4961119,30111
South Dakota,2010,816325,75898
South Dakota,2011,824398,75898
South Dakota,2012,834441,75898
South Dakota,2013,844922,75898
South Dakota,2014,852561,75898
South Dakota,2015,857919,75898
South Dakota,2016,865454,75898
Tennessee,2010,6356671,41220
Tennessee,2011,6397634,41220
Tennessee,2012,6454306,41220
Tennessee,2013,6494821,41220
Tennessee,2014,6544663,41220
Tennessee,2015,6595056,41220
Tennessee,2016,6651194,41220
Texas,2010,25244310,261914
Texas,2011,25646389,261914
Texas,2012,26071655,261914
Texas,2013,26473525,261914
Texas,2014,26944751,261914
Texas,2015,27429639,261914
Texas,2016,27862596,261914
Utah,2010,2775326,82168
Utah,2011,2816124,82168
Utah,2012,2855782,82168
Utah,2013,2902663,82168
Utah,2014,2941836,82168
Utah,2015,2990632,82168
Utah,2016,3051217,82168
Vermont,2010,625982,9249
Vermont,2011,626730,9249
Vermont,2012,626444,9249
Vermont,2013,627140,9249
Vermont,2014,626984,9249
Vermont,2015,626088,9249
Vermont,2016,624594,9249
Virginia,2010,8025773,39598
Virginia,2011,8110035,39598
Virginia,2012,8192048,39598
Virginia,2013,8262692,39598
Virginia,2014,8317372,39598
Virginia,2015,8367587,39598
Virginia,2016,8411808,39598
Washington,2010,6743226,66582
Washington,2011,6822520,66582
Washington,2012,6895226,66582
Washington,2013,6968006,66582
Washington,2014,7054196,66582
Washington,2015,7160290,66582
Washington,2016,7288000,66582
West Virginia,2010,1854230,24087
West Virginia,2011,1854972,24087
West Virginia,2012,1856560,24087
West Virginia,2013,1853231,24087
West Virginia,2014,1848514,24087
West Virginia,2015,1841053,24087
West Virginia,2016,1831102,24087
Wisconsin,2010,5690263,54314
Wisconsin,2011,5709640,54314
Wisconsin,2012,5726177,54314
Wisconsin,2013,5742854,54314
Wisconsin,2014,5758377,54314
Wisconsin,2015,5767891,54314
Wisconsin,2016,5778708,54314
Wyoming,2010,564513,97105
Wyoming,2011,567725,97105
Wyoming,2012,576765,97105
Wyoming,2013,582684,97105
Wyoming,2014,583642,97105
Wyoming,2015,586555,97105
Wyoming,2016,585501,97105
